word,translation,tag
of the order of,"大约, 约等于",
of the name of,名叫...,
of family,出身门第高的,
out of,"在...外, 离开..., 从...里面, 出于, 由于, 因为, 缺乏, 没有, 放弃, 丧失",
out of sight of,在不能看见...的地方,
as of,"在…时候,从…时候起,到…时候止,直到…",
make of,"用...制造, 了解, 对待",
off of,从,
of value,有用的,
of type,类型的,
method of of averages,平均法,
of right,"使恢复正常, 校正, 纠正",
free of,"无...的, 在...外面",
of oneself,"自动地, 自发地",
balance of,当付款项,
of base,"没有根据的,捏造的,与事实不符",
back of,在…后面;在…以前;是…的起因,
of all,在所有的之中,
all of,实足,
give of,"奉献, 贡献",
of record,有案可查的,
list of of property,财产目录,
of name,有名的,
full of,充满; 牣; 尽是,
come of,"出身于, 由...引起",
one of,其中之一,
short of,"缺乏, 达不到, 除...以外",
ratio of of depreciation,折旧率,
list of of prices,"价格表, 价目表定价",
action of of detine,收回被非法占有动产的诉讼,
list of of quotation,"估价目录, 行情表",
list of of shareholders,股东名单,
break of,v. 放弃,
discharge of,卸下,
turn of,从…撵出去,
of note,"著名的, 显要的",
part of,部分,
demand of,要求,
of old,"古时的, 从前的, 很久以前的, 以往的, 从前, 很久前, 早就",
of use,有用,
clear of,"畅通的,无阻的;清除了…的;无,没有",
die of,"死于…,因…而死",
sort of,有几分地,
of sort,不怎么样的,
strip of,"剥夺,搬掉",
of import,的进口,
care of,由...转交\n 转交,
independent of,"独立于...的, 不受...支配的",
of age,"成年, 够岁数了",
of course,当然,
of moment,"a. 重要的, 有意义的",
talk of,"谈到, 说到, 说及",
read of,"读知, 阅悉",
along of,因为,
much of,"许多,很多",
summary of,摘要信息,
write of,写\n记述,
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法",
of purpose,有意地,
judge of,评价,
outside of,"在...的外面, 超出...的范围, 除了...之外",
exclusive of,"除...外, 不包括",
know of,"知道,了解,听说过…",
lot of,"大量的,很多的",
speak of,"谈到..., 论及...",
of worth,有价值,
of any,在所有的...当中,
say of,"说到,谈及",
sick of,"厌倦了, 厌烦了",
what of,"...的情况怎样, ...有什么重要性",
inside of,在...之内,
permit of,"允许, 容许有",
of choice,"精选的, 特别的, 自择的",
of taste,"风雅的,有味道的,有趣的",
taste of,"有...味道, 体验, 吃一点...",
kind of,"<口>稍微, 有点儿, 有几分",
of late,最近,
revocation of of patent,撤销专利权,
something of,"在某种意义上, 在某种程度上",
ahead of,在…之前,
made of,把...培养成,
tell of,讲述,
aside of,在…旁边,
eat of,"吃...中的一部分, 吃一些...",
of intent,"有意地,故意地,蓄意地",
most of,"大多数,大部分",
tire of,厌烦,
void of,"没有,缺乏…",
numbers of,一些，若干，许多,
fail of,"不能获得,达不到,缺乏…",
of pus,排脓法,
each of,每个,
of necessity,必然地,
speaking of,谈起，提到,
south of,在…的南面,
